month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,temp_mean_daily_min,wet_bulb_temperature,spy_volume,spy_return
1993-03,14,250.5,56.9,5.4,86.3,24.0,24.861021505376343,3019200,1.7593415189383066
1993-04,20,283.9,56.7,6.4,84.5,24.4,25.485416666666666,2697200,-2.098596176671108
1993-05,10,129.9,37.2,6.0,82.9,25.4,25.850403225806453,1808000,2.6969579368373076
1993-06,17,115.5,29.4,6.2,80.9,25.4,25.831666666666667,3438000,-0.3455874155805172
1993-07,15,240.0,46.4,5.2,83.2,25.2,25.60470430107527,6117600,0.21995250146569223
1993-08,11,106.8,53.5,7.4,79.4,25.4,25.729032258064517,5440100,3.8326901333483265
1993-09,7,61.7,42.0,5.9,81.4,24.9,25.335,4369900,-1.3422910622380324
1993-10,13,175.5,62.7,5.2,84.3,24.7,25.36599462365591,6972900,2.6081545207876644
1993-11,18,250.8,61.3,4.7,87.4,24.2,25.185555555555553,5351100,-1.0674058342050152
1993-12,19,308.5,67.6,4.2,87.4,24.0,24.86532258064516,6128000,0.5395165442582783
1994-01,7,56.9,17.5,6.1,82.1,24.1,24.526344086021503,6837100,4.19590235629792
1994-02,15,133.5,26.3,6.4,84.5,24.0,24.952976190476193,10974400,-2.916339244405175
1994-03,19,288.2,64.2,3.5,87.1,24.2,25.100403225806453,14705500,-4.739660240874544
1994-04,15,154.0,46.3,5.8,84.8,24.8,25.803333333333335,11429000,1.7045469270933422
1994-05,16,169.6,45.1,5.0,84.8,25.1,26.023655913978494,8545100,1.5939329808481562
1994-06,14,184.7,61.1,6.0,83.5,25.2,25.833194444444448,10352700,-2.9331354752467176
1994-07,6,53.8,17.0,7.6,78.9,25.7,25.547580645161293,5452100,3.915120095996394
1994-08,12,45.1,15.5,6.5,80.0,25.2,25.402419354838713,7945800,3.8121182017015087
1994-09,6,23.7,11.3,3.8,78.7,25.5,25.410833333333333,6309300,-3.114809576922428
1994-10,11,84.7,35.4,4.5,81.5,24.6,25.294758064516127,5437600,3.468148342115751
1994-11,21,322.2,178.3,4.5,88.4,24.0,25.15263888888889,4807300,-3.9815470828680533
1994-12,18,425.4,133.8,5.3,85.5,24.1,24.94327956989247,8568500,-0.0685686087009918
1995-01,21,349.4,108.3,5.0,86.2,24.1,24.95779569892473,2768000,4.184972812107768
1995-02,16,334.0,159.3,4.9,87.5,23.9,24.79925595238095,5954800,4.080874963416314
1995-03,10,67.7,31.1,5.9,83.9,24.6,25.396102150537637,4538000,2.2314734872745268
1995-04,16,242.3,73.6,5.6,85.3,25.0,25.946805555555557,4395200,3.5195058627101927
1995-05,11,84.4,32.8,6.0,83.7,25.6,26.279301075268815,6986200,3.9673770528999786
1995-06,12,63.7,45.0,6.6,81.9,25.8,26.335694444444446,5790900,1.4272552306130448
1995-07,13,173.6,52.3,5.2,82.6,25.2,25.65215053763441,5508200,3.822690139081719
1995-08,21,211.6,37.9,4.1,85.6,24.6,25.47271505376344,8100100,0.4452408651993034
1995-09,7,29.5,5.7,5.8,81.6,25.1,25.764305555555556,7431600,3.6841606738470256
1995-10,12,101.1,37.1,4.7,82.8,24.8,25.463575268817205,8944800,0.23830423129951317
1995-11,20,372.8,198.6,3.7,86.8,24.1,25.218611111111112,8841700,4.4480101251283655
1995-12,20,302.5,55.6,3.1,86.6,23.9,24.549059139784948,9816800,0.9492349137135925
1996-01,10,173.2,39.0,5.2,84.2,23.4,24.08521505376344,10661800,4.198026040052016
1996-02,11,180.2,53.0,5.8,84.6,24.0,24.44942528735632,14850400,0.3190585173835414
1996-03,8,129.7,61.8,7.7,81.0,24.5,25.12889784946237,19022700,1.2719977509794589
1996-04,15,178.2,55.7,5.4,85.5,24.9,25.83888888888889,14999300,1.5359066519132103
1996-05,15,107.5,18.6,7.0,83.7,25.2,26.278494623655916,17453200,2.2700337705064078
1996-06,15,265.8,94.3,5.9,84.3,25.3,26.14916666666667,16871800,0.350485925854116
1996-07,10,162.3,55.3,6.7,81.9,25.4,25.853763440860217,28811500,-3.9875607302385263
1996-08,18,258.4,64.6,5.0,83.4,24.3,25.179032258064517,15593100,1.9258569285486304
1996-09,18,297.0,66.5,4.8,82.2,24.6,25.317222222222224,17216100,5.046646626923912
1996-10,19,300.0,45.8,4.3,83.0,24.4,25.179973118279573,14791800,3.7644366787647154
1996-11,16,180.2,60.5,4.4,83.5,24.6,25.067777777777778,24089700,7.300464396706374
1996-12,15,185.5,72.4,4.5,82.9,23.9,24.34032258064516,34952800,-2.8571806698748925
1997-01,3,15.4,13.9,7.7,77.3,24.0,23.996774193548386,43623700,6.700384665782222
1997-02,8,105.4,35.7,4.9,80.8,24.5,24.758482142857144,30028800,0.9565500644055147
1997-03,10,34.3,17.4,7.0,79.6,24.9,25.227688172043013,37514300,-4.777009551313272
1997-04,12,118.4,44.6,5.6,82.7,25.0,25.68263888888889,57679300,6.667312017516824
1997-05,6,41.6,35.6,6.7,77.7,26.3,26.157526881720432,37473400,6.320775121985744
1997-06,12,78.9,25.0,7.3,76.7,26.0,25.96847222222222,47332500,3.706411378281249
1997-07,9,18.6,5.4,6.5,76.5,26.0,25.524327956989247,65359700,8.346714264734434
1997-08,9,86.6,61.4,5.7,78.2,25.9,25.7252688172043,99046800,-5.180401671584212
1997-09,3,31.1,24.3,3.2,77.0,26.3,25.580277777777777,78642200,4.4260907229347835
1997-10,8,78.4,36.5,3.2,81.0,25.1,25.561693548387098,137440500,-2.092568751363222
1997-11,13,158.3,53.6,5.4,82.8,24.8,25.43972222222222,93157400,3.8696844058013102
1997-12,23,351.9,65.8,5.3,85.3,24.6,25.358467741935485,79162300,1.5032349123991873
1998-01,13,268.8,79.7,7.4,83.2,25.3,25.736424731182797,104582300,1.6908665763927466
1998-02,5,32.5,11.9,8.9,78.3,25.9,25.87827380952381,69733700,6.929479578816622
1998-03,7,58.8,20.9,7.6,77.8,26.3,26.263440860215052,87316900,4.577889459335016
1998-04,13,187.7,64.9,6.7,81.8,26.3,26.697222222222223,118629400,1.570144293934872
1998-05,18,370.8,83.7,5.9,82.3,26.3,26.913978494623656,116264800,-2.076984051383557
1998-06,15,198.8,42.8,5.3,82.1,25.4,26.106944444444444,141993600,3.926643312625311
1998-07,18,259.2,55.8,5.1,81.8,24.9,25.640860215053763,155280200,-1.037451861371308
1998-08,18,195.0,35.5,4.6,85.4,24.7,25.504435483870967,268542800,-14.11794180119842
1998-09,17,258.2,52.0,4.5,84.1,24.9,25.755277777777778,269370500,5.989568395122502
1998-10,20,222.7,32.4,5.0,82.3,24.6,25.591397849462364,249152700,8.48995055259849
1998-11,11,107.2,57.5,4.6,81.9,24.9,25.448749999999997,136369000,5.568245850859621
1998-12,22,463.4,84.4,3.1,88.5,24.2,25.08508064516129,156026700,6.1894285890343514
1999-01,19,193.9,52.5,3.9,88.3,24.3,25.05483870967742,141419000,3.8664416822349557
1999-02,9,67.4,32.1,6.7,82.4,24.5,24.86636904761905,164624900,-3.206854823723748
1999-03,16,181.4,52.4,4.3,87.5,24.4,25.45228494623656,148191100,3.894802644956652
1999-04,14,88.5,29.2,5.8,82.6,25.4,25.886805555555554,156755700,4.049242992798074
1999-05,13,157.1,42.8,5.7,84.4,25.3,25.910618279569892,182566900,-2.2866206635827058
1999-06,13,103.4,34.5,6.0,81.9,25.3,25.735972222222223,160692200,5.220212374805744
1999-07,11,225.4,51.4,6.8,82.7,24.7,25.40255376344086,115669100,-2.809683741496527
1999-08,13,204.0,42.4,5.7,84.1,24.5,25.37244623655914,142925900,-0.5178776523103168
1999-09,13,125.9,41.5,6.5,81.7,24.9,25.40402777777778,167972700,-2.5082686659140596
1999-10,20,205.0,32.8,4.7,84.6,24.3,25.106182795698924,196829400,6.707486980804145
1999-11,19,241.5,39.0,4.7,84.4,24.5,25.14402777777778,125042200,1.6650891715725535
1999-12,17,340.5,76.9,4.1,85.3,24.1,24.823924731182796,121529300,5.452122815139671
2000-01,14,275.2,127.6,4.0,86.9,23.9,24.6377688172043,156770800,-4.745472139833917
2000-02,18,237.8,39.9,5.8,86.5,23.8,24.785344827586204,186938300,-1.5226376153615107
2000-03,15,238.3,37.9,5.8,85.8,24.3,25.315188172043012,247594900,9.413308485242311
2000-04,20,311.6,87.4,5.3,85.6,24.6,25.554305555555555,229246200,-3.266757331703962
2000-05,10,96.8,36.7,6.8,82.4,25.7,26.170698924731184,161024000,-1.572280810372395
2000-06,16,157.5,41.7,4.6,84.3,24.7,25.51236111111111,127146000,1.7286610848493256
2000-07,12,116.1,34.6,6.5,82.6,25.3,25.746370967741935,106780100,-1.3384963758208523
2000-08,18,113.5,28.1,5.1,83.8,24.8,25.354569892473116,102365500,6.534140163767743
2000-09,12,81.1,25.7,6.2,82.2,25.2,25.6075,113203000,-5.723077310743763
2000-10,14,120.9,38.3,4.0,82.1,24.9,25.331989247311828,178392400,-0.21776032224505304
2000-11,21,385.7,72.0,3.7,87.1,24.7,25.583194444444448,156699900,-7.465308220645895
2000-12,18,236.0,45.8,4.2,87.6,24.4,25.335887096774197,165416700,-0.8268017539848516
2001-01,21,425.8,125.4,4.4,87.4,24.0,24.856854838709676,181296400,4.766269043636684
2001-02,11,86.6,28.2,4.8,83.6,24.5,24.788095238095234,178607000,-9.538806200090677
2001-03,20,297.3,41.1,5.4,84.5,24.2,25.350806451612904,318187200,-5.857167134344953
2001-04,18,203.3,68.9,5.3,86.0,25.1,25.86472222222222,251839700,8.836295207415557
2001-05,12,164.9,56.1,6.0,85.0,25.7,26.47056451612903,208040000,-0.5605690913405348
2001-06,11,137.1,49.6,4.9,82.5,25.4,25.77097222222222,203578200,-2.6598000544297173
2001-07,9,111.3,44.8,8.1,80.8,25.5,25.7880376344086,196892900,-0.7380443999521646
2001-08,14,158.3,36.6,4.9,83.7,25.2,25.804973118279573,269599600,-5.933240908970417
2001-09,13,162.0,74.3,6.2,82.3,25.2,25.575833333333332,419156100,-8.50637078269586
2001-10,20,252.2,77.2,4.4,83.7,24.7,25.423387096774192,512612000,1.6823078498252597
2001-11,15,175.3,102.6,3.7,84.9,24.7,25.157083333333333,372515000,7.797742678800423
2001-12,20,609.0,211.1,4.5,86.8,24.1,24.94233870967742,308403900,0.21916443055796098
2002-01,11,221.2,83.8,6.9,83.6,24.5,24.83279569892473,349380000,-0.6392601994505198
2002-02,2,50.8,41.7,7.4,80.9,24.5,24.705357142857142,424492600,-1.7935870922434205
2002-03,8,55.6,26.4,7.6,80.8,25.1,25.528494623655916,385578100,3.031883165699356
2002-04,13,116.5,39.4,6.6,82.3,25.6,26.13722222222222,404461000,-5.545783720391406
2002-05,13,236.6,75.9,6.2,82.3,26.1,26.417473118279567,452626500,-0.5933475486903705
2002-06,12,83.1,45.8,6.3,82.1,26.0,26.222638888888888,534883500,-7.703797050081396
2002-07,11,233.7,69.5,6.8,82.7,25.5,26.05510752688172,1124248800,-7.559502601855006
2002-08,14,54.2,17.8,6.7,79.2,25.6,25.624193548387098,936191200,0.680091972835406
2002-09,9,124.2,38.9,5.5,81.7,25.1,25.545555555555556,1013828600,-10.884714160500831
2002-10,7,10.8,3.2,6.2,79.8,25.7,25.838306451612905,1344248100,8.713530571483341
2002-11,15,307.2,84.0,4.6,85.8,24.5,25.49833333333333,818243400,6.168131721557724
2002-12,24,255.0,38.6,4.8,88.7,24.7,25.680779569892472,728285900,-6.118349840568205
2003-01,20,444.2,194.4,4.7,86.9,24.4,24.92970430107527,911319900,-1.9801426545523637
2003-02,13,172.9,82.2,5.8,85.0,24.4,25.087648809523813,862248300,-1.3478771818680624
2003-03,11,154.6,38.3,6.9,83.8,25.2,25.84704301075269,1156870200,-0.18848641680040412
2003-04,20,159.9,42.9,5.1,86.7,25.3,26.094305555555557,996114200,8.898467839086944
2003-05,11,81.8,33.0,5.8,81.7,26.5,26.612903225806452,881509900,5.483617849038236
2003-06,12,50.3,23.2,7.0,78.5,26.0,25.94916666666667,867970200,0.7014611565111739
2003-07,14,170.4,30.9,5.6,81.7,25.1,25.634543010752687,895260500,2.1704446635577135
2003-08,13,193.6,64.4,6.1,83.1,25.5,25.924865591397847,772702000,2.0625959571471952
2003-09,15,205.3,60.0,5.0,84.8,24.8,25.566666666666666,818513400,-1.4688401427776054
2003-10,21,351.4,56.6,5.1,84.9,24.5,25.548521505376343,831700900,5.757055858374205
2003-11,19,133.8,41.3,4.2,87.3,24.7,25.443055555555556,630654200,1.0921510247159594
2003-12,17,273.0,92.1,3.9,87.2,24.3,24.87150537634409,678350400,4.537344060592141
2004-01,13,600.9,177.8,6.7,86.7,24.2,25.08225806451613,737674000,2.4588813723126934
2004-02,4,31.9,19.2,7.7,80.5,24.7,24.958189655172415,676976900,1.3570042448642239
2004-03,16,269.4,122.8,4.8,85.8,24.7,25.739919354838708,1125003900,-1.6692802631920856
2004-04,9,57.1,18.1,7.0,82.3,26.1,26.369027777777777,968620900,-1.5481858465049347
2004-05,13,137.6,73.4,6.0,82.1,26.4,26.447580645161292,981083900,1.7123412795846837
2004-06,8,127.2,68.1,6.3,79.8,26.1,26.183611111111112,721880400,1.4797277097192474
2004-07,20,166.6,34.3,4.2,85.3,24.5,25.38817204301075,954619200,-2.8686442550571067
2004-08,8,185.2,111.5,7.3,80.3,25.4,25.537365591397847,922892000,0.24365011492133437
2004-09,14,128.9,29.1,5.9,83.6,25.0,25.570277777777775,790891900,0.5849707210718647
2004-10,13,125.6,25.3,5.0,83.9,25.0,25.57338709677419,1044071300,1.7101015741800785
2004-11,15,166.2,62.4,5.8,86.1,24.6,25.41375,961601700,4.1430901483041405
2004-12,14,139.8,36.4,4.9,85.2,24.5,24.87244623655914,909170200,2.8316473712577395
2005-01,8,163.2,96.7,6.5,83.3,23.9,24.395967741935483,1184211500,-1.7802769742217617
2005-02,3,8.4,7.2,9.1,77.7,25.3,25.330357142857142,1025608400,2.0903390089184404
2005-03,12,82.4,20.5,7.2,80.3,25.4,25.70577956989247,1330548800,-2.213359797263359
2005-04,10,81.7,49.6,7.0,81.0,25.7,26.036805555555556,1633318500,-1.4880719306924806
2005-05,20,331.1,58.7,5.5,84.6,25.2,26.366532258064517,1334647300,3.2224504121448394
2005-06,15,82.3,27.6,5.4,82.7,26.1,26.405694444444443,1089322900,-0.25109026205830665
2005-07,15,104.0,26.3,5.4,84.0,25.2,25.849865591397847,1176306400,4.2452078515806235
2005-08,13,58.5,13.8,6.5,82.9,25.5,25.900134408602153,1306564800,-0.9374357771584574
2005-09,18,175.7,43.4,6.2,84.2,25.2,25.996111111111112,1287005000,0.3752316511656195
2005-10,19,314.5,76.2,5.1,85.2,24.7,25.58185483870968,1784566400,-1.9494706982851273
2005-11,23,362.9,133.8,4.4,86.4,24.4,25.43236111111111,1183732800,4.395260759271835
2005-12,19,166.0,47.3,4.5,85.6,24.6,25.326478494623657,1073146800,-0.7176895725147348
2006-01,20,454.4,131.7,4.8,87.8,24.1,24.865591397849464,1233910800,2.9442888592547956
2006-02,8,115.5,44.5,7.4,84.0,24.8,25.37842261904762,1145244400,0.5724908380278171
2006-03,9,83.1,35.7,7.1,81.3,25.2,25.692204301075268,1350777100,1.247811442714486
2006-04,18,239.8,43.3,5.3,87.0,24.8,25.854444444444447,1300327900,1.6658648790454755
2006-05,14,205.7,36.6,5.0,85.2,25.4,26.103629032258063,1752747100,-3.0121136205540577
2006-06,16,236.8,37.3,5.5,86.3,25.1,25.99152777777778,2163829300,-0.18034241269464513
2006-07,15,153.8,54.8,6.9,83.8,25.7,26.21155913978495,1691301400,0.8918066054080631
2006-08,14,127.3,30.4,6.7,81.9,25.5,25.854569892473116,1420345400,2.182245738893429
2006-09,12,83.3,32.2,5.3,81.0,25.4,25.40486111111111,1363687900,2.2504680148876632
2006-10,8,102.0,37.8,4.8,80.9,25.4,25.69327956989247,1443344100,3.605310178090826
2006-11,18,185.6,64.0,5.6,87.4,24.5,25.550416666666667,1502059900,1.9885344717469833
2006-12,22,765.9,198.0,3.2,88.5,24.3,25.12217741935484,1212756800,0.7756120486562157
2007-01,20,450.1,143.8,4.1,86.8,24.2,24.72083333333333,1330329900,2.0695554892398826
2007-02,3,105.5,51.4,7.6,82.5,24.5,24.870535714285715,1494548900,-1.961698829630465
2007-03,21,269.1,68.8,5.8,84.9,24.6,25.42043010752688,2918304400,0.7592522272057645
2007-04,14,240.2,102.4,5.9,84.7,25.2,26.00986111111111,1791289900,4.8437426193340904
2007-05,16,127.2,21.9,5.5,84.8,25.3,26.221236559139783,2508178000,3.3919986878699016
2007-06,12,139.0,38.0,6.0,82.8,25.4,26.059583333333336,3502885400,-1.884923763943025
2007-07,19,141.7,23.0,3.8,84.8,25.1,25.697580645161292,3988676200,-2.7134844861356755
2007-08,20,190.7,55.9,5.7,82.9,25.0,25.4252688172043,6195918600,1.2832410952190454
2007-09,13,149.0,52.1,5.8,83.3,25.0,25.593194444444443,2967009200,3.3810121944154226
2007-10,16,237.2,51.8,5.6,83.2,24.9,25.488575268817204,3850069600,1.837451009464619
