month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,temp_mean_daily_min,wet_bulb_temperature
1982-01,10,107.1,36.5,5.6,81.2,23.3,23.45604838709677
1982-02,5,27.8,9.4,7.6,79.5,23.9,24.297619047619047
1982-03,11,160.8,61.7,5.1,82.3,24.3,24.811559139784944
1982-04,14,157.0,45.1,4.7,85.9,24.3,25.10375
1982-05,10,102.2,33.0,5.8,83.2,25.2,25.689650537634407
1982-06,8,59.5,20.6,7.3,80.3,26.0,25.729305555555552
1982-07,8,76.3,17.2,7.6,77.6,25.5,25.107258064516127
1982-08,11,169.5,57.7,5.4,80.4,25.0,25.02755376344086
1982-09,9,54.1,18.0,5.2,80.6,25.3,25.243055555555557
1982-10,10,39.3,10.0,5.6,81.5,24.3,24.90067204301075
1982-11,13,134.0,39.6,5.8,83.4,24.5,25.068888888888885
1982-12,21,494.1,109.0,3.3,87.7,23.9,24.621639784946236
1983-01,18,246.0,43.2,4.3,85.6,24.0,24.554973118279573
1983-02,2,5.6,5.1,9.3,78.0,24.8,24.97440476190476
1983-03,2,18.6,18.3,8.9,76.0,25.4,25.439247311827955
1983-04,4,33.6,21.3,6.6,77.2,26.3,26.09347222222222
1983-05,11,160.8,32.3,5.9,83.2,25.2,25.95685483870968
1983-06,11,94.0,27.7,5.9,82.4,25.3,25.872500000000002
1983-07,18,190.0,55.5,5.4,83.7,24.9,25.422043010752688
1983-08,10,262.2,181.8,6.3,81.2,25.6,25.54959677419355
1983-09,18,170.8,50.3,3.8,84.4,24.6,25.13722222222222
1983-10,17,212.7,40.0,5.2,82.5,24.7,25.239247311827956
1983-11,18,228.8,54.8,3.2,85.2,24.0,24.687638888888888
1983-12,16,370.6,164.4,2.7,88.0,23.3,23.882526881720427
1984-01,18,251.2,62.3,4.1,85.8,22.9,23.667876344086025
1984-02,19,470.4,154.4,4.1,86.0,23.4,24.00991379310345
1984-03,19,361.3,119.4,5.3,85.4,23.8,24.6002688172043
1984-04,17,153.1,38.7,6.2,83.8,24.5,25.178472222222222
1984-05,12,186.5,46.0,6.4,84.1,24.5,25.15645161290323
1984-06,14,255.0,121.1,5.4,83.1,24.7,25.2575
1984-07,12,127.2,49.2,5.7,83.7,24.7,24.984274193548387
1984-08,13,102.7,22.5,6.0,84.1,24.3,25.241935483870968
1984-09,17,186.7,46.5,4.9,83.9,23.7,24.65791666666667
1984-10,11,187.5,47.2,5.3,82.5,24.3,25.00712365591398
1984-11,17,127.7,35.4,4.3,86.3,24.0,24.650138888888886
1984-12,22,277.4,58.4,3.3,86.7,23.6,24.245833333333334
1985-01,7,111.1,35.5,8.7,81.5,23.6,24.091129032258063
1985-02,11,79.3,18.7,6.5,84.0,24.1,24.892857142857142
1985-03,13,88.0,23.8,5.6,83.9,24.2,24.92822580645161
1985-04,14,110.5,29.3,5.5,83.8,24.4,25.28291666666667
1985-05,12,70.1,36.2,5.7,83.4,25.2,25.736962365591395
1985-06,14,37.0,9.9,5.8,79.4,25.1,25.32333333333333
1985-07,17,131.8,32.2,5.3,83.1,23.9,24.738575268817204
1985-08,11,56.9,21.4,6.2,80.4,25.1,25.07983870967742
1985-09,18,110.7,22.0,5.0,83.1,24.0,24.693055555555556
1985-10,21,169.0,30.2,4.1,84.7,23.9,24.6747311827957
1985-11,21,179.4,38.2,4.1,85.0,23.8,24.571805555555557
1985-12,22,340.1,86.8,4.6,86.2,23.7,24.273118279569893
1986-01,13,308.2,95.6,3.9,83.9,23.4,23.615591397849464
1986-02,2,26.7,23.0,7.2,78.4,23.9,23.99955357142857
1986-03,17,353.4,71.1,4.6,86.6,24.1,24.6747311827957
1986-04,14,150.0,56.4,6.2,85.3,24.7,25.42013888888889
1986-05,13,145.1,51.3,6.1,81.8,25.4,25.686155913978496
1986-06,13,122.9,34.5,6.8,82.5,25.3,25.542222222222225
1986-07,12,109.7,23.5,6.2,79.9,25.0,25.11209677419355
1986-08,11,72.9,28.4,5.6,77.3,25.2,25.126478494623655
1986-09,22,396.0,97.6,4.8,84.4,23.6,24.64486111111111
1986-10,20,227.3,65.6,5.0,85.0,24.3,24.90537634408602
1986-11,21,256.7,40.5,4.5,84.1,24.1,24.504583333333333
1986-12,16,367.2,131.7,5.4,85.2,23.9,24.403494623655916
1987-01,16,568.6,127.4,4.0,86.0,23.4,23.70255376344086
1987-02,7,86.9,34.8,9.2,79.0,23.7,23.781994047619047
1987-03,12,132.5,40.9,6.9,83.2,24.8,25.19475806451613
1987-04,10,72.5,27.7,6.2,82.8,25.1,25.573194444444447
1987-05,16,270.0,81.4,5.6,84.6,25.0,25.55766129032258
1987-06,15,126.6,30.7,6.8,80.7,26.0,26.001527777777774
1987-07,11,80.9,21.6,6.7,81.3,25.4,25.540188172043013
1987-08,16,191.9,48.2,5.1,83.6,25.0,25.20483870967742
1987-09,11,129.9,44.5,5.4,82.5,24.6,25.21027777777778
1987-10,9,22.6,5.9,5.8,82.1,25.2,25.403897849462364
1987-11,17,347.6,77.7,4.5,84.0,24.3,25.099861111111114
1987-12,11,72.8,24.3,4.8,84.6,24.2,24.40981182795699
1988-01,15,237.5,69.0,5.9,84.3,24.5,24.706989247311828
1988-02,9,158.1,46.7,6.7,83.2,24.6,24.87528735632184
1988-03,15,186.8,70.1,5.2,85.3,24.8,25.28682795698925
1988-04,13,109.6,22.8,5.4,84.5,25.2,25.7025
1988-05,14,229.6,76.7,5.6,82.7,25.8,26.008467741935483
1988-06,13,252.2,69.4,6.5,81.6,24.9,25.459305555555556
1988-07,15,305.4,75.6,6.0,84.0,24.6,25.204435483870967
1988-08,14,80.1,19.0,4.9,84.9,24.5,25.002150537634407
1988-09,14,440.4,187.3,4.8,84.5,24.5,25.004722222222224
1988-10,17,134.6,39.8,4.1,83.2,24.5,25.170295698924733
1988-11,23,401.4,111.9,3.7,86.8,23.7,24.58527777777778
1988-12,11,62.9,22.0,5.7,81.1,23.9,23.718413978494624
1989-01,10,189.7,53.0,5.8,84.1,23.9,24.39704301075269
1989-02,3,52.4,48.4,6.7,78.3,23.7,23.703869047619047
1989-03,21,305.9,63.5,4.5,87.6,23.9,24.72204301075269
1989-04,17,198.6,39.0,5.7,86.4,24.0,25.190555555555555
1989-05,12,194.0,38.2,5.2,86.6,24.5,25.4755376344086
1989-06,12,117.6,45.9,6.0,83.3,24.4,25.19611111111111
1989-07,12,157.6,33.3,6.0,82.6,24.9,25.386559139784943
1989-08,18,201.0,81.4,5.3,83.7,23.9,24.966397849462364
1989-09,14,247.3,102.2,5.5,84.4,24.1,24.846249999999998
1989-10,16,111.0,24.9,5.5,83.7,24.2,24.87983870967742
1989-11,20,508.4,148.6,5.4,86.0,24.0,24.7975
1989-12,18,179.7,44.2,4.8,85.5,23.9,24.37889784946237
1990-01,13,147.4,73.9,5.3,83.8,23.7,24.04731182795699
1990-02,8,24.1,6.6,8.9,80.9,24.9,24.96175595238095
1990-03,4,94.2,48.6,8.3,77.6,25.0,25.07956989247312
1990-04,10,52.4,12.0,6.3,81.2,25.3,25.885972222222225
1990-05,11,180.1,153.7,6.5,81.1,25.6,25.933064516129033
1990-06,9,112.6,76.1,6.3,80.7,25.4,25.693888888888885
1990-07,12,124.0,44.5,5.9,82.7,24.6,25.131048387096776
1990-08,13,146.6,38.3,5.8,82.3,25.1,25.5747311827957
1990-09,17,204.5,44.5,5.1,83.2,24.2,24.9775
1990-10,12,56.4,20.2,5.9,83.5,24.9,25.24516129032258
1990-11,17,180.4,46.9,4.6,83.5,24.7,24.983611111111113
1990-12,16,201.1,33.5,5.5,86.0,24.1,24.47231182795699
1991-01,13,123.9,36.2,5.6,84.1,24.2,24.58454301075269
1991-02,7,45.5,17.9,7.0,81.6,24.1,24.620386904761908
1991-03,10,92.4,48.6,7.1,79.9,24.7,25.046370967741936
1991-04,13,134.2,32.2,5.8,84.3,24.7,25.61513888888889
1991-05,23,256.4,44.0,5.1,86.6,25.0,25.91021505376344
1991-06,9,88.7,55.6,7.1,81.0,25.8,25.97041666666667
1991-07,8,37.3,10.7,6.7,78.7,25.7,25.533736559139783
1991-08,8,226.2,129.9,5.3,79.8,25.3,25.4
1991-09,12,123.1,53.6,4.1,83.0,24.7,25.269305555555558
1991-10,5,52.0,20.4,4.2,81.4,24.7,24.985483870967744
1991-11,19,205.0,75.2,3.5,86.5,23.6,24.49291666666667
1991-12,19,492.3,79.4,3.0,90.7,23.4,24.43938172043011
1992-01,9,83.9,56.2,6.6,82.4,23.8,24.29274193548387
1992-02,4,62.4,43.2,7.7,80.5,24.3,24.784913793103446
1992-03,6,67.6,35.1,7.4,80.6,25.0,25.50577956989247
1992-04,13,160.3,94.7,6.4,82.4,25.1,25.965
1992-05,13,63.1,13.7,5.7,83.3,25.1,25.8505376344086
1992-06,14,162.8,38.4,5.5,82.7,24.9,25.671666666666663
1992-07,19,290.8,97.3,4.7,83.8,24.2,25.1630376344086
1992-08,11,76.1,31.0,5.7,81.1,24.3,25.18978494623656
1992-09,13,83.6,17.5,5.0,82.9,24.5,25.035694444444445
1992-10,20,233.2,45.5,4.5,82.0,24.3,24.988306451612903
1992-11,18,474.3,120.6,3.7,87.7,23.7,24.479999999999997
1992-12,23,502.7,105.7,3.4,90.3,23.4,24.283467741935485
1993-01,11,176.4,37.2,5.5,85.7,23.8,24.335752688172043
1993-02,8,69.2,27.0,8.5,80.5,23.8,24.083035714285714
1993-03,14,250.5,56.9,5.4,86.3,24.0,24.861021505376343
1993-04,20,283.9,56.7,6.4,84.5,24.4,25.485416666666666
1993-05,10,129.9,37.2,6.0,82.9,25.4,25.850403225806453
1993-06,17,115.5,29.4,6.2,80.9,25.4,25.831666666666667
1993-07,15,240.0,46.4,5.2,83.2,25.2,25.60470430107527
1993-08,11,106.8,53.5,7.4,79.4,25.4,25.729032258064517
1993-09,7,61.7,42.0,5.9,81.4,24.9,25.335
1993-10,13,175.5,62.7,5.2,84.3,24.7,25.36599462365591
1993-11,18,250.8,61.3,4.7,87.4,24.2,25.185555555555553
1993-12,19,308.5,67.6,4.2,87.4,24.0,24.86532258064516
1994-01,7,56.9,17.5,6.1,82.1,24.1,24.526344086021503
1994-02,15,133.5,26.3,6.4,84.5,24.0,24.952976190476193
1994-03,19,288.2,64.2,3.5,87.1,24.2,25.100403225806453
1994-04,15,154.0,46.3,5.8,84.8,24.8,25.803333333333335
1994-05,16,169.6,45.1,5.0,84.8,25.1,26.023655913978494
1994-06,14,184.7,61.1,6.0,83.5,25.2,25.833194444444448
1994-07,6,53.8,17.0,7.6,78.9,25.7,25.547580645161293
1994-08,12,45.1,15.5,6.5,80.0,25.2,25.402419354838713
1994-09,6,23.7,11.3,3.8,78.7,25.5,25.410833333333333
1994-10,11,84.7,35.4,4.5,81.5,24.6,25.294758064516127
1994-11,21,322.2,178.3,4.5,88.4,24.0,25.15263888888889
1994-12,18,425.4,133.8,5.3,85.5,24.1,24.94327956989247
1995-01,21,349.4,108.3,5.0,86.2,24.1,24.95779569892473
1995-02,16,334.0,159.3,4.9,87.5,23.9,24.79925595238095
1995-03,10,67.7,31.1,5.9,83.9,24.6,25.396102150537637
1995-04,16,242.3,73.6,5.6,85.3,25.0,25.946805555555557
1995-05,11,84.4,32.8,6.0,83.7,25.6,26.279301075268815
1995-06,12,63.7,45.0,6.6,81.9,25.8,26.335694444444446
1995-07,13,173.6,52.3,5.2,82.6,25.2,25.65215053763441
1995-08,21,211.6,37.9,4.1,85.6,24.6,25.47271505376344
1995-09,7,29.5,5.7,5.8,81.6,25.1,25.764305555555556
1995-10,12,101.1,37.1,4.7,82.8,24.8,25.463575268817205
1995-11,20,372.8,198.6,3.7,86.8,24.1,25.218611111111112
1995-12,20,302.5,55.6,3.1,86.6,23.9,24.549059139784948
1996-01,10,173.2,39.0,5.2,84.2,23.4,24.08521505376344
1996-02,11,180.2,53.0,5.8,84.6,24.0,24.44942528735632
1996-03,8,129.7,61.8,7.7,81.0,24.5,25.12889784946237
1996-04,15,178.2,55.7,5.4,85.5,24.9,25.83888888888889
1996-05,15,107.5,18.6,7.0,83.7,25.2,26.278494623655916
1996-06,15,265.8,94.3,5.9,84.3,25.3,26.14916666666667
1996-07,10,162.3,55.3,6.7,81.9,25.4,25.853763440860217
1996-08,18,258.4,64.6,5.0,83.4,24.3,25.179032258064517
1996-09,18,297.0,66.5,4.8,82.2,24.6,25.317222222222224
1996-10,19,300.0,45.8,4.3,83.0,24.4,25.179973118279573
1996-11,16,180.2,60.5,4.4,83.5,24.6,25.067777777777778
1996-12,15,185.5,72.4,4.5,82.9,23.9,24.34032258064516
1997-01,3,15.4,13.9,7.7,77.3,24.0,23.996774193548386
1997-02,8,105.4,35.7,4.9,80.8,24.5,24.758482142857144
1997-03,10,34.3,17.4,7.0,79.6,24.9,25.227688172043013
1997-04,12,118.4,44.6,5.6,82.7,25.0,25.68263888888889
1997-05,6,41.6,35.6,6.7,77.7,26.3,26.157526881720432
1997-06,12,78.9,25.0,7.3,76.7,26.0,25.96847222222222
1997-07,9,18.6,5.4,6.5,76.5,26.0,25.524327956989247
1997-08,9,86.6,61.4,5.7,78.2,25.9,25.7252688172043
1997-09,3,31.1,24.3,3.2,77.0,26.3,25.580277777777777
1997-10,8,78.4,36.5,3.2,81.0,25.1,25.561693548387098
1997-11,13,158.3,53.6,5.4,82.8,24.8,25.43972222222222
1997-12,23,351.9,65.8,5.3,85.3,24.6,25.358467741935485
1998-01,13,268.8,79.7,7.4,83.2,25.3,25.736424731182797
1998-02,5,32.5,11.9,8.9,78.3,25.9,25.87827380952381
1998-03,7,58.8,20.9,7.6,77.8,26.3,26.263440860215052
1998-04,13,187.7,64.9,6.7,81.8,26.3,26.697222222222223
1998-05,18,370.8,83.7,5.9,82.3,26.3,26.913978494623656
1998-06,15,198.8,42.8,5.3,82.1,25.4,26.106944444444444
1998-07,18,259.2,55.8,5.1,81.8,24.9,25.640860215053763
1998-08,18,195.0,35.5,4.6,85.4,24.7,25.504435483870967
1998-09,17,258.2,52.0,4.5,84.1,24.9,25.755277777777778
1998-10,20,222.7,32.4,5.0,82.3,24.6,25.591397849462364
1998-11,11,107.2,57.5,4.6,81.9,24.9,25.448749999999997
1998-12,22,463.4,84.4,3.1,88.5,24.2,25.08508064516129
1999-01,19,193.9,52.5,3.9,88.3,24.3,25.05483870967742
1999-02,9,67.4,32.1,6.7,82.4,24.5,24.86636904761905
1999-03,16,181.4,52.4,4.3,87.5,24.4,25.45228494623656
1999-04,14,88.5,29.2,5.8,82.6,25.4,25.886805555555554
1999-05,13,157.1,42.8,5.7,84.4,25.3,25.910618279569892
1999-06,13,103.4,34.5,6.0,81.9,25.3,25.735972222222223
1999-07,11,225.4,51.4,6.8,82.7,24.7,25.40255376344086
1999-08,13,204.0,42.4,5.7,84.1,24.5,25.37244623655914
1999-09,13,125.9,41.5,6.5,81.7,24.9,25.40402777777778
1999-10,20,205.0,32.8,4.7,84.6,24.3,25.106182795698924
1999-11,19,241.5,39.0,4.7,84.4,24.5,25.14402777777778
1999-12,17,340.5,76.9,4.1,85.3,24.1,24.823924731182796
2000-01,14,275.2,127.6,4.0,86.9,23.9,24.6377688172043
2000-02,18,237.8,39.9,5.8,86.5,23.8,24.785344827586204
2000-03,15,238.3,37.9,5.8,85.8,24.3,25.315188172043012
2000-04,20,311.6,87.4,5.3,85.6,24.6,25.554305555555555
2000-05,10,96.8,36.7,6.8,82.4,25.7,26.170698924731184
2000-06,16,157.5,41.7,4.6,84.3,24.7,25.51236111111111
2000-07,12,116.1,34.6,6.5,82.6,25.3,25.746370967741935
2000-08,18,113.5,28.1,5.1,83.8,24.8,25.354569892473116
2000-09,12,81.1,25.7,6.2,82.2,25.2,25.6075
2000-10,14,120.9,38.3,4.0,82.1,24.9,25.331989247311828
2000-11,21,385.7,72.0,3.7,87.1,24.7,25.583194444444448
2000-12,18,236.0,45.8,4.2,87.6,24.4,25.335887096774197
2001-01,21,425.8,125.4,4.4,87.4,24.0,24.856854838709676
2001-02,11,86.6,28.2,4.8,83.6,24.5,24.788095238095234
2001-03,20,297.3,41.1,5.4,84.5,24.2,25.350806451612904
2001-04,18,203.3,68.9,5.3,86.0,25.1,25.86472222222222
2001-05,12,164.9,56.1,6.0,85.0,25.7,26.47056451612903
2001-06,11,137.1,49.6,4.9,82.5,25.4,25.77097222222222
2001-07,9,111.3,44.8,8.1,80.8,25.5,25.7880376344086
2001-08,14,158.3,36.6,4.9,83.7,25.2,25.804973118279573
2001-09,13,162.0,74.3,6.2,82.3,25.2,25.575833333333332
2001-10,20,252.2,77.2,4.4,83.7,24.7,25.423387096774192
2001-11,15,175.3,102.6,3.7,84.9,24.7,25.157083333333333
2001-12,20,609.0,211.1,4.5,86.8,24.1,24.94233870967742
2002-01,11,221.2,83.8,6.9,83.6,24.5,24.83279569892473
2002-02,2,50.8,41.7,7.4,80.9,24.5,24.705357142857142
2002-03,8,55.6,26.4,7.6,80.8,25.1,25.528494623655916
